DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT13R,DA0912DR13R,DAGC4X13R,DAGC5X12R,DA0GR13N,DA0GH13N,DA00A001S14R,DA00AR01S14R,DA00AW01S14R,DA00AM01S14R,DA00AC01S14R,DA00AS01S14R,DB00A001S14R,DH00A001S14R,DW00A001S14R,DI00A001S14R,D300A001S14R,D400A001S14R,D200A001S14R,DE00A001S14R,DA0CT13R,DA0CC13R,DA0CSA13R,DA0CAA13R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
LUFKIN ISD,003903,003 ANGELINA,07,Met Standard,16,8383,28.5,39.7,28,0.2,1.5,0.1,1.9,73.5,18.3,10.5,22.8,19.3,10.3,96,2.1,88.5,89.6,528,432,78,75,74,80,82,77,71,74,89,71,96,-1,80,73,40.9,33.8,1533,20.3,1295.4,599.8,1.3,2.8,7.5,46.3,13,29.1,76556,65742,52159,44220,39.3,6.5,14,34.1,13,14,14.6,12.3,8.9,76.8,2,59.3,11.6,4,11,4.9,9.2,251698,1.21,73763493,8684,46.7,38.6,14.6,18523942,0,78909091,70171830,8261,55,6.5,5.3,11.2,22,38575518,4542,58.9,15.5,12.8,1.1,3.6,0.3,2.1,1.1,3.6,1.1,"5,000 to 9,999",Independent Town,"$239,665 to < $259,094",$1.1251 to under $1.2365
HUNTINGTON ISD,003904,003 ANGELINA,07,Met Standard,5,1760,2.7,5.9,88.5,0.4,0.2,0,2.4,52,0.9,9.9,0.9,33.4,5.8,95.3,1.8,88.1,91.4,114,58,69,70,65,73,67,67,38,72,70,80,.,.,65,61,39.5,24.4,1401,20.2,247.8,118.7,1.6,3.4,10.4,47.9,8.7,28,87000,71189,50143,42923,4.2,7.1,14.8,33.6,13.3,18.8,17.8,0,1.7,98.3,0,73.1,12.6,5.4,0,6.5,2.4,129995,1.45,17119526,9867,63.5,27.4,9.1,3155237,0,15552444,13828683,7970,50.3,8.1,6.5,11.8,23.4,6950137,4006,57.8,16.3,11.4,0.3,5.8,0.2,5.9,2.2,0.2,0,"1,600 to 2,999",Non-metropolitan Stable,"$101,960 to < $151,909",$1.3593 and over
DIBOLL ISD,003905,003 ANGELINA,07,Met Standard,6,1982,11.8,53.7,32.8,0.1,0.3,0,1.2,75.6,18.7,9.4,18,21.8,4.3,95.7,0,94.7,94.4,129,87,72,73,59,76,76,68,63,70,79,-1,100,.,80,69,45,12.1,1419,18.8,283,147,1.2,2.9,7,51.9,9,27.9,89599,65247,50266,44791,29.8,7,13.5,35,10.6,17.3,16.7,4.8,10.9,84.3,0,78.5,1.9,13.1,0,4.5,1.9,136253,1.28,19583330,9811,67.6,20.2,12.2,4535907,0,19112903,17419794,8727,52.7,7.5,5.7,13.2,21,9172517,4595,55.1,10.5,19.4,2.8,3.3,2.8,3.6,1,1,0.5,"1,600 to 2,999",Non-metropolitan Stable,"$101,960 to < $151,909",$1.2365 to under $1.3593
ZAVALLA ISD,003906,003 ANGELINA,07,Met Standard,2,410,0.7,3.7,93.7,0.5,0,0,1.5,59,0,11.2,0,29.8,4.6,95,1.4,96.9,96.6,31,27,78,78,73,77,82,80,-1,66,78,-1,.,.,100,73,58.1,0,1307,-1,74.2,38.2,2.7,2.7,13.1,51.5,10.8,19.2,67416,54703,41197,42675,1.3,5.5,10.7,15.7,13.7,11,11.1,0,2.6,94.8,2.6,70.7,13.4,6.8,0,7.1,2,211643,1.421,5136553,11648,58.4,25.7,15.9,2377000,0,4883110,4048866,9181,60.8,8.6,4.1,9.2,17.2,2463406,5586,58.1,14,15.7,0,5.8,0.4,3.1,1.3,1.6,0,Under 500,Rural,"$200,649 to < $226,769",$1.3593 and over
CENTRAL ISD,003907,003 ANGELINA,07,Met Standard,4,1592,6.7,18.3,73.3,0.3,0.1,0,1.3,53.6,3.1,9.9,3,25,4.3,95.8,1.1,96.4,95.9,106,73,74,74,66,76,72,74,59,72,76,75,-1,.,74,68,36.8,15.4,1418,20.6,225.4,119.2,2.2,4,10,52.9,12.9,18,80342,66083,49627,43634,7.1,7.1,13.4,30.2,11.8,23,22.5,0.8,4.2,94.1,0.8,75.7,9.9,0.8,1,5.3,7.4,160860,1.19,14459800,9389,64.7,25.1,10.2,1944368,0,14790192,13688716,8889,54.8,6.5,5.6,11.9,21.3,7501083,4871,63.6,14.9,10.8,0.1,5.2,0.4,3,1.2,0.1,0.8,"1,000 to 1,599",Non-metropolitan Stable,"$151,909 to < $181,217",$1.1251 to under $1.2365
ARANSAS COUNTY ISD,004901,004 ARANSAS,02,Met Standard,5,3212,1.2,41,53,0.4,2.4,0,2.1,55.6,3.8,8.7,3.8,26.1,3.9,95.1,0.9,90,91.9,202,181,76,73,67,76,82,82,53,71,79,68,87,.,77,69,57.4,22.4,1404,20.5,474,239.4,1.6,2.7,7.8,50.5,10.1,27.3,97643,66567,50488,43500,20.7,6.8,13.4,33.8,12,23.8,17.3,1.3,8,88.3,2.5,80.6,12.8,1.7,0.8,3.9,0.2,775675,1.159,35811904,11329,17.8,70.2,12,9685144,0,53066356,31184473,9865,53.2,6.7,4.8,15.6,19.7,16586458,5247,61.1,14.5,12,0.1,4.5,0.3,3.9,1.3,1.3,1,"3,000 to 4,999",Non-metropolitan Stable,"$683,703 to < $2,233,241",$1.1251 to under $1.2365
ARCHER CITY ISD,005901,005 ARCHER,09,Met Standard,2,487,0.4,8.8,84.8,0.6,0,0,5.3,38.6,1.2,11.1,1.2,31.2,7.2,96.2,0,97.3,100,36,28,86,89,84,88,80,82,-1,78,88,-1,.,.,78,76,63.9,21.7,1489,22.5,87.9,49.2,0.6,3.4,4.5,55.9,14.6,20.9,46454,77592,49659,42633,2.2,5.5,9.9,24.4,13.3,4.1,8.5,0,2,91.9,6.1,75.8,12.3,2,2.4,7.5,0,389550,1.11,5703278,11687,44,47.9,8,1537565,0,5922795,5078029,10406,60.4,4.9,5.3,8.9,20.4,3069203,6289,62.4,12.3,10.4,0.1,4.7,0.4,7,1.2,1.5,0,Under 500,Rural,"$382,231 to < $400,089",Under $1.1251
HOLLIDAY ISD,005902,005 ARCHER,09,Met Standard,3,892,0.3,8,89.3,0.8,0.1,0,1.5,27.2,0.1,10,0.1,25.1,3.7,96.8,0,95.5,100,65,45,86,89,84,87,85,77,75,80,87,100,.,.,80,80,72.3,27.7,1552,22.1,116.7,67.2,1.7,2.6,7.1,57.6,14.9,16.2,96205,72834,45536,43828,9.4,7.6,13.3,14.9,15.5,12.2,13.4,0,1.5,98.5,0,82.3,5.5,5.9,0,5.8,0.5,297034,1.17,7972014,8988,47.3,48.5,4.3,1563039,0,7779508,6769757,7632,57.4,7.1,5.6,11,18.9,3887413,4383,66.9,9.8,5.5,0.1,6.2,0.6,7.1,2.1,0.9,0.8,500 to 999,Other Central City Suburban,"$282,185 to < $299,922",$1.1251 to under $1.2365
WINDTHORST ISD,005904,005 ARCHER,09,Met Standard,3,461,0,29.5,69.2,1.1,0,0,0.2,40.3,8.5,7.6,8.5,37.1,8.2,97.3,1.2,96.9,93.2,31,29,88,88,88,87,93,85,.,80,91,64,.,.,-1,85,64.5,25,1440,22.1,67.2,37.3,1.5,3.5,3.1,55.5,8,28.3,82875,58075,51320,43403,7.4,6.9,12.4,20.8,13.5,13.4,19,0,0,100,0,84.6,5.3,2.7,0,7.4,0,139335,1.26,5132792,10783,72.4,21.1,6.5,2982868,0,5313056,4245871,8920,57.1,6.1,6.3,11.7,18.8,2425401,5095,57.6,7.4,15.2,0.6,8.4,0.4,7.7,1.9,0.9,0,Under 500,Rural,"$101,960 to < $151,909",$1.2365 to under $1.3593
CLAUDE ISD,006902,006 ARMSTRONG,16,Met Standard,2,369,2.2,11.7,82.9,0.5,0,0,2.7,40.7,0.8,12.2,0.8,27.6,2.7,96.5,0.8,96.4,96.8,23,22,81,86,77,77,81,74,82,77,82,-1,.,.,67,80,82.6,36.8,.,21.3,68.7,38,2.9,2.5,3.6,55.3,14,21.7,78104,70816,53688,41469,5.7,5.4,9.7,25.5,11.3,19.2,20,0,2.6,94.7,2.6,76,13.7,2.6,0,7.6,0,312843,1.2,4355126,11899,56,37.8,6.2,2680307,0,4564122,3953452,10802,50.8,14.3,6.1,9.1,19.7,2008080,5487,66.5,10.7,7.1,0,4.7,0.1,8.2,0,2.8,0,Under 500,Rural,"$299,922 to < $312,844",$1.1251 to under $1.2365
CHARLOTTE ISD,007901,007 ATASCOSA,20,Improvement Required,3,534,0,84.1,15.2,0.2,0,0,0.6,71.3,5.6,9.2,4.7,22.1,2.4,95.9,3.4,87.1,91.9,28,20,65,62,68,66,67,69,.,63,76,-1,.,.,100,61,57.1,6.3,1195,-1,89.4,44.1,2.2,3.4,4.3,49.4,12.3,28.4,43000,66867,46440,45114,69.8,6,12.1,36.2,10,16.2,28.6,0,49.8,50.2,0,91.3,0,4.5,0,4.2,0,247414,1.18,5835124,11624,51.6,39.3,9.2,1881671,0,6023425,5101074,10162,51,12.8,5.7,14.4,16.3,2599631,5179,49.1,11.6,23.5,0.9,5.9,0.2,4.4,1.3,2,1.2,500 to 999,Rural,"$239,665 to < $259,094",$1.1251 to under $1.2365
JOURDANTON ISD,007902,007 ATASCOSA,20,Met Standard,6,1552,0.7,58.8,38.9,0.3,0.2,0.1,1.1,56.1,2.3,8.2,2.3,29.3,5.7,96.4,2.3,91.4,90.7,74,50,75,75,77,77,77,70,69,69,84,56,-1,-1,77,67,48.6,16.7,1403,20.8,205.1,111.2,1,4.3,2.9,54.2,11.4,26.1,100024,84221,62830,51907,38.2,7.6,14,21.6,15.3,23.4,14.3,0.9,18,75.7,5.4,83.3,4.9,2.7,0,6,3.2,313377,1.122,14295942,9725,43.5,49.7,6.7,4301807,0,16077068,12290421,8361,56.5,7.1,7.1,9.6,19.7,6937380,4719,64.2,12.9,9.4,0.3,6.1,0.6,4.2,0.8,0.5,0.9,"1,000 to 1,599",Non-metropolitan Fast Growing,"$312,844 to < $324,855",Under $1.1251
LYTLE ISD,007904,007 ATASCOSA,20,Met Standard,5,1762,0.7,79.9,18.4,0.4,0,0.2,0.3,71.5,8.1,6.6,7.5,30.8,4.8,95.3,1.5,90.4,94.5,108,102,61,63,42,61,62,68,61,58,72,77,.,.,100,55,60.2,9.2,1304,18.7,256.4,120.6,2.3,3.5,9.8,47,9.3,28.1,79992,68563,55255,45232,51.2,6.9,14.6,42.2,9.1,22.8,29.2,1.7,35.3,63,0,74.9,11.8,4.4,0,6.7,2.1,125837,1.42,17315208,9974,66.8,21.8,11.4,3056071,0,20869239,14992696,8636,50.2,7.2,5.7,11.2,25.7,7520484,4332,54.8,11.9,16.7,0.4,5.4,0.4,5.2,0.5,3.6,1.1,"1,600 to 2,999",Non-metropolitan Stable,"$101,960 to < $151,909",$1.3593 and over
PLEASANTON ISD,007905,007 ATASCOSA,20,Met Standard,7,3517,0.4,69.7,28.5,0.2,0.4,0,0.8,61.1,3.2,6.9,3.2,26.4,4.6,95.2,0.6,96.8,97.4,218,185,70,68,64,76,73,61,50,65,83,-1,95,.,73,63,39,22.4,1388,20.5,481.9,241.6,1,2.6,7.3,50.1,11.3,27.6,88276,64720,54562,45381,44.4,7.3,14.6,43.2,9.4,14.2,16.2,0,29.3,68.6,2.1,84.2,9.9,0.7,0,4.3,0.9,215430,1.13,38498102,11040,44.1,39.5,16.4,9170541,0,35750576,31994397,9175,48.5,7.8,4.9,14.3,24.6,15500474,4445,56.5,21.8,9.8,0.2,4.3,0.7,3.2,1.5,1.3,0.8,"3,000 to 4,999",Independent Town,"$200,649 to < $226,769",$1.1251 to under $1.2365
POTEET ISD,007906,007 ATASCOSA,20,Met Standard,4,1758,0.3,84.4,14.4,0.1,0.1,0.1,0.6,81.9,4,7.4,3.7,36.1,5.1,94.2,3,86.6,94,103,92,68,68,67,69,70,61,70,67,75,-1,100,.,82,65,37.9,10.3,1269,17.9,279.2,124.3,2.1,3.6,11.8,44.5,8.9,29.1,78672,69164,54215,46869,61.5,6.3,14.1,46.7,9.5,22.9,33.5,1.6,44.4,53.2,0.8,81.4,6.1,6,0.1,5.6,0.8,108498,1.419,18616435,10500,57.3,19.3,23.4,3395818,0,21364852,16828262,9491,49.3,11.2,6.2,10.6,22.7,8287951,4675,46.3,8.3,31.3,0.4,4.6,0.3,4.6,1,2.8,0.6,"1,600 to 2,999",Non-metropolitan Stable,"$101,960 to < $151,909",$1.3593 and over
BELLVILLE ISD,008901,008 AUSTIN,06,Met Standard,5,2121,10.7,27.3,58.9,0.3,0.2,0,2.6,45.8,8.2,8,8.1,26.3,11.1,95.9,0.9,96,98.8,169,128,80,81,80,82,75,75,60,71,88,100,90,.,75,68,67.5,33.3,1479,21.9,308.2,155.1,1.6,3.2,8.2,50.3,13.7,22.9,98606,72827,46833,43920,16.8,6.9,13.7,28.6,14.5,13.3,17.8,2.1,5.2,92.7,0,80.8,7,0.8,2.7,7.4,1.2,477153,1.26,21407676,10282,23.3,69.4,7.3,4726444,0,19799665,17281310,8300,55.6,6.2,5.5,11.1,21.6,9607052,4614,61.8,14.4,6.9,1.3,6.6,0.7,4.4,2,0.8,1.3,"1,600 to 2,999",Independent Town,"$469,944 to < $525,059",$1.2365 to under $1.3593
SEALY ISD,008902,008 AUSTIN,06,Met Standard,4,2766,10,46.9,40.8,0.2,0.3,0.1,1.8,55.5,11.9,8,11.7,20.2,5.6,96.2,1,94.6,91.9,197,162,77,75,71,82,78,73,61,71,88,82,83,100,83,69,56.3,20.7,1358,20,358.2,202.5,1.4,3.1,7.6,56.5,13.4,18,92318,71886,57139,48613,20.4,7.7,13.7,28.5,13,14.3,13,4.4,7.4,86.7,1.5,60,20.3,3.1,3.4,4.4,8.7,400088,1.26,26697872,9977,34.8,55.7,9.6,4500000,0,26173682,22991793,8592,55.5,5.6,5.9,12.7,20.3,12769801,4772,56.7,20.5,8.2,0.6,4.4,0.5,4.7,1.3,1.6,1.7,"1,600 to 2,999",Other Central City Suburban,"$382,231 to < $400,089",$1.2365 to under $1.3593
BRAZOS ISD,008903,008 AUSTIN,06,Met Standard,3,822,9.1,49.6,38.2,0,0.7,0,2.3,56.4,11.9,5.2,11.6,26.2,2.3,96.4,0.8,96,93,48,36,79,78,69,79,89,82,70,74,88,.,100,.,66,74,52.1,12,1384,19.1,128.4,67.5,2.8,2.3,5.7,52.5,11.5,25.1,72498,70700,48818,46712,25.5,6.4,12.2,30.8,13.5,12.1,22.8,3,5.9,91.1,0,76.7,8.9,5.4,0,5.2,3.7,361213,1.401,8926832,10873,39.7,52.5,7.8,1426114,0,8918634,7678549,9353,52.9,7,6.3,12.1,21.6,4063294,4949,51.1,15.1,12.7,1.6,8.1,1.4,5.8,1.4,2.7,0,500 to 999,Rural,"$340,343 to < $382,231",$1.3593 and over
MULESHOE ISD,009901,009 BAILEY,17,Met Standard,5,1461,0.3,82,17,0,0.6,0,0.1,84.3,19,10.2,18.7,22.1,2.7,96.3,0,100,100,87,72,72,70,71,76,68,76,-1,69,86,.,73,.,-1,69,55.2,14.6,-1,19.3,225,114.2,1.8,3.6,5.4,50.8,17.9,20.6,106838,69451,46890,42809,30,6.5,12.8,31,12.7,18.2,15.3,0.9,15.8,82.1,1.3,74.3,9.7,6,4.4,4,1.6,171709,1.35,15921588,10714,59.4,25.5,15.1,4248648,0,15472124,13425041,9034,57.1,6.2,6,9.8,20.9,7663044,5157,48.5,13.6,19.8,2.4,4.8,0.3,4.7,1.2,3.2,1.6,"1,000 to 1,599",Non-metropolitan Stable,"$151,909 to < $181,217",$1.2365 to under $1.3593
MEDINA ISD,010901,010 BANDERA,20,Met Standard,2,270,1.5,26.3,69.6,0.4,0,0,2.2,55.9,7,10.7,5.9,28.1,5.9,96.4,0.9,100,100,30,16,84,90,91,75,78,89,-1,79,86,.,.,.,83,83,76.7,8.7,1262,18.1,64.3,34,4.7,3.1,3.3,52.8,12.1,24,73024,80732,40114,40487,13.9,4.2,7.9,26.5,13.6,14.7,36,0,11.8,82.4,5.9,71.5,9.3,9.7,0,7.1,2.4,761008,1.04,2969663,11164,15.8,76.4,7.9,11528,0,4011052,3974414,14941,52.1,10.2,7.4,12.3,18,2068700,7777,54.7,19.9,9.6,1.8,7,2.4,4.3,0,0.4,0,Under 500,Rural,"$683,703 to < $2,233,241",Under $1.1251
