DISTRICT,DZCAMPUS,DA00A001S15R,DB00A001S15R,DW00A001S15R,DH00A001S15R,DI00A001S15R,D200A001S15R,D300A001S15R,D400A001S15R,DE00A001S15R,DA00AR01S15R,DA00AM01S15R,DA00AC01S15R,DA00AS01S15R,DA00AW01S15R,DA0AT14R,DA0912DR14R,DAGC4X14R,DAGC5X13R,DA0GH14N,DA0CC14R,DA0CT14R,DA0CSA14R,DA0CAA14R,DA0GR14N,DPSTTOFC,DPSATOFC,DPSTURNR,DPSTEXPA,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSAKIDR,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTSPFP,DPSTGOFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTO2FP,DPST05FP,DPSTADFP,DPSTKIDR,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPETALLC,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DZRVLOCP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DISTNAME,REGION,DZRATING,DZCNTYNM,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
003903,17,76,66,89,74,88,76,83,-1,70,74,85,81,82,66,96.2,2,88.4,90,417,32.2,39.8,1504,20.3,523,590,1240,19.5,12.3,47.6,7.3,3.1,1.2,11.9,28.9,38.6,6.7,60.8,5.3,10.5,3.4,10,10.1,12.3,76.6,9.3,1.9,35.7,13.8,14.1,45858,54135,68038,83786,8322,27.7,29,39.3,0.2,1.7,0.1,2,73.9,18.6,10.5,19.7,23.4,10.5,259936,1.207,78329431,9344,49.6,12.2,14419534,0,78202429,71319364,8508,54.4,38818601,4631,60.5,15.1,11.5,1,4,0.3,1.9,1.1,3.7,1,38.2,7.7,5.1,11.3,21.4,LUFKIN ISD,07,Met Standard,003 ANGELINA,"5,000 to 9,999",Independent Town,"$256,362 to < $267,621",$1.1398 to under $1.2401
003904,5,78,57,78,75,100,74,-1,,69,77,77,79,85,70,95.5,5.1,91.9,89.7,89,18.5,44.5,1427,19.2,146,120.7,247.2,14.6,13.4,48.8,10.1,3.8,1.6,9,26.7,7,7.1,74.6,6.6,0,6,9.3,3.5,0,95,4.1,0.8,27.4,15.1,14.5,44949,50776,68027,95375,1755,88.8,1.7,6.6,0.5,0.1,0,2.3,50.6,1,9.6,30.6,1,5.2,130156,1.45,18172587,10325,69.3,9.1,3945878,0,16589035,14718966,8363,50.4,7423746,4218,49.5,15.3,12,0.3,5.8,8.1,5.6,1.8,1.7,0,21.6,7.5,6.6,13.1,22.4,HUNTINGTON ISD,07,Met Standard,003 ANGELINA,"1,600 to 2,999",Non-metropolitan Stable,"$103,884 to < $153,471",$1.3690 and over
003905,6,75,57,85,73,-1,79,-1,,71,75,86,74,82,64,95.8,0.4,98.3,95.5,87,15.4,53.3,1367,18.6,122,147.8,289.4,20.4,11.1,51.1,6,3.5,1,7.7,30.7,27.8,6.7,77.2,4.6,2,11.1,2.7,2.3,2.7,87.1,10.2,0,33.7,17,13.1,45623,52293,67371,92227,1930,32.1,12,53.8,0.1,0.3,0.1,1.6,67.2,19,11,24.6,18.3,3.9,132438,1.28,20310012,10247,67.5,12.5,4497236,0,21856370,17899265,9031,53.2,9520374,4803,59.4,10.4,16,1,4.5,0.7,3.6,0,4.1,0.3,20,8.5,5.6,11.6,21.2,DIBOLL ISD,07,Met Standard,003 ANGELINA,"1,600 to 2,999",Non-metropolitan Stable,"$103,884 to < $153,471",$1.2401 to under $1.3690
003906,2,81,-1,83,55,-1,100,,,78,86,85,71,83,73,96.2,0.7,92.3,96.9,20,0,52,1307,,25,37.1,68.3,10.5,15.1,54.4,9.4,2.9,2.9,10.3,20.1,1.5,6,71.5,8.4,0,8,10.9,1.1,0,94.6,2.7,2.7,10.8,12.3,11.1,45166,39998,57022,62210,412,92.5,1,3.9,0.7,0,0,1.9,59.5,0,13.8,33.5,0,4.9,223773,1.491,5400290,13171,58.3,14.4,2920052,0,4656072,4146486,10113,60.1,2490329,6074,60.1,14.4,15.7,0,4.5,0.4,3.2,1.1,0.7,0,27.3,9,3.6,10.3,17.1,ZAVALLA ISD,07,Met Standard,003 ANGELINA,Under 500,Rural,"$213,468 to < $233,451",$1.3690 and over
003907,4,77,54,79,72,100,93,-1,,69,75,81,79,79,73,95.7,0.4,91.2,96.4,76,16.7,35,1412,19.7,103,121,235.3,27.5,11.2,51.4,9.8,3.8,2.5,14,18.4,7.9,6.7,72.2,6,1.1,1.1,11.9,7.7,2.5,94.2,3.3,0,38.4,13.2,13,44578,51476,65026,80247,1575,71.4,6.2,20,0.4,0.1,0,1.9,53.1,3.3,10.3,27.7,3.3,3.7,151408,1.33,16516992,10375,64.1,10.3,2939330,0,15911963,14635972,9193,55,8053151,5059,62.7,16.5,10,0.1,4.6,0.3,3.5,1.1,0.5,0.8,25.7,6.6,5.2,11.7,21.5,CENTRAL ISD,07,Met Standard,003 ANGELINA,"1,000 to 1,599",Non-metropolitan Stable,"$103,884 to < $153,471",$1.2401 to under $1.3690
004901,5,79,65,82,73,77,89,92,,73,78,81,83,77,77,95.1,0.9,93.5,93.2,171,21,59.8,1397,20.3,199,238.3,489.6,28.2,11.3,48.7,8.7,2.7,1.5,9.2,29.2,22.9,6.6,81.8,5,1.2,2.1,9.6,0.3,1.3,85.6,11.3,1.8,36.9,22.6,13.6,45258,51774,68748,99743,3246,53.3,1.5,40.2,0.4,2.2,0,2.4,55.5,3.6,8.7,27.2,3.6,4,771183,1.16,36643852,11408,15.4,11.4,7538380,0,43815432,31630817,9848,52.9,16719888,5205,64.1,13.8,10.5,0.2,3.7,0.3,4,1.2,1.3,1,73.2,6.9,4.7,15.7,19.9,ARANSAS COUNTY ISD,02,Met Standard,004 ARANSAS,"3,000 to 4,999",Independent Town,"$666,628 to < $1,678,318",$1.1398 to under $1.2401
005901,2,86,-1,88,76,-1,81,,,78,89,85,87,79,83,96.3,0,96.9,100,21,38.5,40.6,1482,22.4,32,50,89.3,12.6,13.2,56,5.6,2.2,1.1,13.3,21.8,2.2,5.4,79.6,9.2,0.5,2,8.7,0,0,92,2,6,26,6,9.6,43043,50015,80025,91150,482,85.5,0.8,8.7,0.6,0,0,4.4,37.1,1.7,10.8,28.4,1.2,7.7,458419,1.11,8734119,17935,30.4,2.9,3018273,0,6900161,5373574,11034,61.5,3305008,6786,62.1,11.8,9.5,0.1,5.5,0.3,7.2,1.2,2.4,0,66.6,5.1,4.8,8.8,19.9,ARCHER CITY ISD,09,Met Standard,005 ARCHER,Under 500,Rural,"$426,008 to < $476,841",Under $1.1398
005902,3,86,-1,87,81,-1,82,,,78,89,89,86,75,81,97.1,0,98.5,97,50,27.5,77.3,1448,21.6,66,68,118.5,12.2,16.1,57.4,9.3,2.5,1.7,15.3,13.8,9.3,7.6,83.5,5.9,0,5.1,5,0.5,0,98.5,1.5,0,13.2,16.2,13.2,44483,41513,75500,99855,901,90.8,0.3,6.8,0.3,0.1,0,1.7,23.6,0.3,9,23.4,0.3,5.3,338869,1.48,9303161,10430,42.7,2.9,1595255,0,14954640,7333304,8221,58.1,4262727,4779,67.7,10.1,4.6,0,6.9,0.5,6.4,1.8,0.9,1,54.4,6.6,5.5,11.2,18.6,HOLLIDAY ISD,09,Met Standard,005 ARCHER,500 to 999,Other Central City Suburban,"$332,093 to < $369,248",$1.3690 and over
005904,3,91,,94,85,75,-1,-1,,88,91,91,96,86,89,97.4,0.6,97.5,96.9,39,21.4,70,1390,21.4,40,35.8,66.5,8,14.8,53.8,3.2,3.5,1.5,8.7,29.2,8.3,6.9,82.8,8,0,2.8,6.4,0,0,100,0,0,13.3,16.8,12.8,44369,55287,70083,90191,458,69.7,0.2,28.4,1.1,0.2,0,0.4,34.5,8.3,7.6,43.2,8.3,7.9,153302,1.26,5284271,11463,71.5,4.7,3423680,0,5187779,4448102,9649,55,2447592,5309,58.8,8.6,12.8,0.7,8,0.3,8.1,1.8,0.9,0,23.8,6,7.5,12.8,18.7,WINDTHORST ISD,09,Met Standard,005 ARCHER,Under 500,Rural,"$103,884 to < $153,471",$1.2401 to under $1.3690
006902,2,86,100,87,72,-1,-1,,,79,85,100,86,85,81,96.4,0,96.7,96.4,26,50,66.7,-1,22.3,30,37.9,67.8,28,11.9,55.9,5.1,1.7,2.9,13.3,21,8.3,5.3,81.9,8.3,0,2.6,7.2,0,2.6,94.7,2.6,0,23.7,15.4,9.4,41796,57796,76076,80461,357,82.1,2.5,12.6,0.6,0,0,2.2,40.9,0.8,10.4,25.8,0.8,2.5,356861,1.15,4522924,12257,57.1,5.6,2952365,0,4267771,3977458,10779,54.5,2169007,5878,63,13.7,8.3,0,6.1,0.4,6.5,0,1.9,0,37.3,11.1,6.5,9.1,18.7,CLAUDE ISD,16,Met Standard,006 ARMSTRONG,Under 500,Rural,"$332,093 to < $369,248",$1.1398 to under $1.2401
007901,4,70,-1,92,68,,,,,66,75,68,70,61,54,96.2,0,95.7,90.3,17,5.3,70.4,-1,16.3,27,45,93,36.6,9.7,48.4,4.3,3.2,2.2,13.4,28.5,73.6,5.5,81.6,7.3,0,6.7,4.4,0,2.2,42.2,55.6,0,44.4,17.8,11.4,45651,52325,74000,97500,513,12.1,0.2,87.1,0,0,0,0.6,69.4,6.2,10.3,24,5.3,2.1,326131,1.19,6318288,11832,45.3,8.5,2249594,0,5939796,5451333,10208,51.2,2788360,5222,50.3,11.6,19.1,1.6,5.9,0.3,4.4,0.8,4.3,1.8,46.1,11.6,6.8,13.1,17.3,CHARLOTTE ISD,20,Met Standard,007 ATASCOSA,500 to 999,Rural,"$322,342 to < $332,093",$1.1398 to under $1.2401
007902,5,75,68,86,67,-1,92,-1,,67,75,66,76,80,71,96.5,2.4,87.9,91.4,37,15.6,46.4,1389,19.9,97,114.9,210.3,20.9,13.8,54.6,1.8,3.4,1,11.9,27.3,42.6,7.8,83.6,6.1,0,2.6,5,2.6,1.7,70.5,21.6,6.1,23.5,25.1,14.2,52259,70394,84993,104459,1633,39.3,1,58.5,0.2,0.1,0,0.9,56.3,2.1,8.1,30.6,2.1,5.1,344626,1.046,15829616,10199,40.2,9,4457994,0,16379620,14378090,9264,57.9,8320493,5361,63.1,12.3,8.4,0.4,6,0.6,4.7,1.4,2.6,0.7,50.8,6.1,6.4,9.8,19.7,JOURDANTON ISD,20,Met Standard,007 ATASCOSA,"1,600 to 2,999",Non-metropolitan Fast Growing,"$332,093 to < $369,248",Under $1.1398
007904,5,59,60,71,56,69,100,,-1,53,63,74,40,65,48,95.5,2.1,94.5,92,118,7.4,55.7,1322,17.8,122,121.5,262.3,24.2,8.7,46.3,9.8,3.5,2.1,10.2,28.1,53.4,6.6,75.3,7,0,6.6,8.7,2.4,3.7,62.5,33.9,0,38.3,24.7,14.2,46936,54684,69226,83844,1720,18.3,0.9,79.5,0.5,0,0.2,0.5,71.4,8.5,6.6,31.7,8,4.4,133109,1.42,18916824,10736,66.4,10.7,4616345,0,25894986,15806313,8971,50.1,7925605,4498,57.9,11.9,13,0.6,6,0.5,4.3,0.8,3.7,1.5,23,7.3,5.9,10.7,25.9,LYTLE ISD,20,Met Standard,007 ATASCOSA,"1,600 to 2,999",Non-metropolitan Stable,"$103,884 to < $153,471",$1.3690 and over
007905,7,72,60,83,67,-1,80,88,,63,72,75,76,69,61,95.7,0.2,95.9,98.1,182,13.6,48.4,1351,20.1,213,245.8,493.8,14.4,9.8,49.8,6.8,2.4,1,13.6,26.4,45.2,7.2,81.4,4.8,0,1.1,11.9,0.9,0,68.2,29.8,2,42.5,13.2,14.5,45341,54040,65879,89905,3568,28.4,0.5,69.6,0.2,0.4,0,0.8,51,3.1,7.2,26.9,3.1,4.2,306156,1.13,42102026,11971,34.1,12.4,7213087,0,36369382,31702201,9014,52.2,16541542,4703,55.3,21.2,9,0.2,4.5,0.7,3.9,1.3,3.1,0.9,53.4,6.7,5.4,11.6,24.1,PLEASANTON ISD,20,Met Standard,007 ATASCOSA,"3,000 to 4,999",Independent Town,"$285,930 to < $307,766",Under $1.1398
007906,4,65,100,78,62,-1,100,-1,,62,69,70,63,57,53,94.5,0.8,87,85.8,90,15.2,46,1331,17.9,100,121.6,285.4,35.7,9.4,42.6,13.3,3.2,2.6,10.1,28.1,63.6,6.1,86.2,6.7,0.1,2.4,3.7,0.8,1.6,51.4,46.1,0.8,45.3,23.6,14.3,47117,53470,67317,81325,1742,14.1,0.3,84.7,0.3,0.1,0,0.5,76.7,4.5,7.7,27.4,4,5.3,114723,1.419,22215900,12637,62,21,3824551,0,34837668,19380541,11024,47.4,9176195,5220,46.4,8,29.5,0.4,4.8,0.3,5.2,0.9,3.8,0.6,17,12.4,5.7,11.2,23.3,POTEET ISD,20,Met Standard,007 ATASCOSA,"1,600 to 2,999",Non-metropolitan Stable,"$103,884 to < $153,471",$1.3690 and over
008901,5,84,62,91,78,-1,63,63,-1,75,83,94,83,85,80,96.2,0.5,98,97.1,116,30.9,54.4,1457,21.8,149,155.8,308.5,16.2,14.2,50.5,8.3,3.2,1.6,13.6,22.6,17.1,7,80.6,6.6,2.2,1.4,8.2,1.1,1.3,91.8,6.9,0,32.2,10.5,13.9,44833,48401,70197,103575,2159,58.7,10.1,28.3,0.3,0.3,0,2.2,46.1,8.4,8,25.3,8.4,10.7,492528,1.26,22271045,10500,25.3,7.4,5033658,0,21230001,18538253,8740,55.6,10315292,4863,60.7,14.5,7.1,1.3,6.8,0.8,4.3,2.4,0.8,1.3,67.2,6.7,5.6,11.1,21,BELLVILLE ISD,06,Met Standard,008 AUSTIN,"1,600 to 2,999",Independent Town,"$476,841 to < $512,265",$1.2401 to under $1.3690
008902,4,76,55,85,73,83,87,71,100,67,76,80,79,75,72,95.9,0.7,96.7,95.1,161,26.4,49.7,1411,20.7,183,198.5,349.7,18.2,12.5,56.8,7.8,3.1,1.7,12.9,17.7,20.6,8,62.6,5.4,3.9,5.1,14.3,8.7,6,84.9,8.1,1,29.7,14.2,14.1,49813,58140,72625,95051,2793,40.2,10.3,46.9,0.2,0.4,0.1,1.9,56.7,12.5,8.1,24,12.2,5.7,399005,1.26,27152024,9816,36.8,9,4500000,0,27844412,24902472,9003,56.4,14055544,5082,61.2,18.7,6.6,0.4,4,0.5,4.1,1.2,1.7,1.6,54.2,6.1,5.5,12.8,19.2,SEALY ISD,06,Met Standard,008 AUSTIN,"1,600 to 2,999",Other Central City Suburban,"$393,190 to < $426,008",$1.2401 to under $1.3690
008903,4,80,62,89,76,,71,100,,73,80,81,90,82,64,96.4,0.7,91.4,98,50,14.8,49.1,1393,19.4,55,63.7,122.8,20.9,13.7,51.9,7,1.8,2.9,10.6,25.8,21.9,6.8,81,5.9,0.4,3.1,5.9,3.8,1.6,95.3,3.1,0,28.2,17,13.1,47565,48893,68905,72417,836,39.4,10,47.7,0,0.7,0,2.2,56.8,11.5,6.8,29.8,11.1,2.9,394690,1.4,9475614,11528,40.2,8.4,1342654,0,9927177,8315170,10116,54.2,4504778,5480,56,13.2,12.3,0.9,6.1,1.8,5.8,0.6,2.4,0.9,51.4,7.2,6.1,11.4,21.1,BRAZOS ISD,06,Met Standard,008 AUSTIN,500 to 999,Rural,"$393,190 to < $426,008",$1.3690 and over
009901,5,75,100,87,73,,-1,64,,73,75,87,73,81,64,96.3,0.3,100,100,57,6.8,63.8,-1,18.7,69,112.3,222.4,10,13.8,50.5,5.4,3.4,1.8,18.2,20.8,34.4,6.4,74.9,4,4.7,6.1,9.1,1.1,0.9,81.3,16.9,0.9,25.8,17.2,12.7,45324,49804,71437,106800,1423,15.6,0.5,83.1,0,0.7,0,0.1,85,19.5,10.8,21.6,19.4,2.1,174062,1.35,16731252,11452,60.6,14.6,4282029,0,16350221,13994919,9579,56.9,7961856,5450,46.5,12,20.9,1.9,4.8,0.3,5.1,1.2,4.3,3.2,24.8,6.2,6,10,20.9,MULESHOE ISD,17,Met Standard,009 BAILEY,"1,000 to 1,599",Non-metropolitan Stable,"$153,471 to < $180,893",$1.2401 to under $1.3690
010901,1,82,-1,85,73,-1,100,,,76,90,90,72,77,68,96.3,1.1,100,100,13,33.3,75,1409,21.1,20,28.9,56.6,38.2,14.3,51.1,4,1.8,5.3,11.8,26.1,12.2,4.7,69.7,8.7,0,12.2,6.8,2.6,0,89.6,6.9,3.5,31.1,20.7,9.3,41883,45449,85270,73786,268,70.5,1.5,24.6,0.4,0,0,3,60.8,7.1,11.9,34.7,7.1,4.9,781483,1.04,3406950,12618,21.2,7.8,371983,0,3833948,3815426,14131,51.5,1963191,7271,57,14,10.4,2.1,6.3,2.1,4.2,1.7,2.4,0,71.1,13.1,6.6,10.1,18.8,MEDINA ISD,20,Met Standard,010 BANDERA,Under 500,Rural,"$666,628 to < $1,678,318",Under $1.1398
010902,4,82,100,84,76,83,72,100,,74,83,84,83,80,71,95.1,1.4,93.6,94.9,109,34.3,63,1477,22,162,154.9,308.7,16,14.1,50.2,8.3,3.5,1.8,9.9,26.3,11.6,7.4,75.8,5,0.2,7,7.4,4.6,0.6,92.9,5.8,0.6,17.4,26.2,14.7,50255,58221,73384,98707,2272,65.9,0.5,31.3,0.6,0.4,0.1,1.3,50.7,3.8,10.2,28,3.7,5.8,570357,1.17,22700534,9582,16.4,9,3783602,0,23194004,20484982,8647,54.2,11103488,4687,57,14.8,10,0.3,5.8,0.4,4.7,4.4,2.2,0.4,74.5,4.6,4.6,10.8,25.8,BANDERA ISD,20,Met Standard,010 BANDERA,"1,600 to 2,999",Major Suburban,"$533,171 to < $666,628",$1.1398 to under $1.2401
